Job Title,Job URL,Company Name,Compnay URL,Exp,Salary,Location,Skills,Posted
Data Analyst - Python/ R,https://www.naukri.com/job-listings-data-analyst-python-r-e-hireo-global-pvt-ltd-bangalore-bengaluru-2-to-4-years-250820902830?src=jobsearchDesk&sid=16233957827611842_1&xp=13&px=2,e-Hireo Global Pvt Ltd,https://www.naukri.com/premium-jobs-careers-852658,2-4 Yrs,Not disclosed,Bangalore,Data Science|Visualization|R|Data Visualization|Data Mining|Algorithm|SQL|Python,1 Day Ago
Senior Data Analyst - IT,https://www.naukri.com/job-listings-senior-data-analyst-it-easy-recruit-bangalore-bengaluru-3-to-5-years-080221903715?src=jobsearchDesk&sid=16233957827611842_1&xp=14&px=2,Easy Recruit,https://www.naukri.com/premium-jobs-careers-852658,3-5 Yrs,Not disclosed,Bangalore,Data Science|Predictive Modeling|Business Intelligence|Data Analytics|Statistics|Analytics|SQL,1 Day Ago
Senior Data Scientist - ML,https://www.naukri.com/job-listings-senior-data-scientist-ml-sp-staffing-services-private-limited-pune-10-to-20-years-100621006203?src=jobsearchDesk&sid=16233957827611842_1&xp=15&px=2,SP Staffing Services Private Limited,https://www.naukri.com/sp-staffing-services-jobs-careers-37905,10-20 Yrs,"15,00,000 - 25,00,000 PA.",Pune,Machine Learning|Data Science|Python|Tensorflow|Deep Learning|Numpy|Microservices|NLP,1 Day Ago
Assistant Manager - Data Analytics/Database Design,https://www.naukri.com/job-listings-assistant-manager-data-analytics-database-design-serving-skill-gurgaon-gurugram-5-to-10-years-090621903936?src=jobsearchDesk&sid=16233957827611842_1&xp=16&px=2,Serving Skill,https://www.naukri.com/premium-jobs-careers-852658,5-10 Yrs,Not disclosed,Gurgaon,Data Analytics|Machine Learning|ETL|R|Data Warehousing|Business Intelligence|R - Tableau|Data Visualization,1 Day Ago
ML Engineers For large Group in chennai /Hyd,https://www.naukri.com/job-listings-ml-engineers-for-large-group-in-chennai-hyd-artemis-technologies-hyderabad-secunderabad-chennai-3-to-8-years-090621008506?src=jobsearchDesk&sid=16233957827611842_1&xp=17&px=2,Artemis technologies,https://www.naukri.com/artemis-technologies-jobs-careers-1129602,3-8 Yrs,Not disclosed,"Hyderabad, Chennai",R|Qlikview|Scala|data analysis|Dask|Kubernetes|Tableau|deep learning libraries,1 Day Ago
Sr. Backend Developer - Python,https://www.naukri.com/job-listings-sr-backend-developer-python-intelligent-industrial-internet-systems-pvt-ltd-mumbai-bangalore-bengaluru-3-to-5-years-090920000711?src=jobsearchDesk&sid=16233957827611842_1&xp=18&px=2,intelligent industrial internet systems pvt ltd.,https://www.naukri.com/intelligent-industrial-internet-systems-jobs-careers-3318014,3-5 Yrs,Not disclosed,"Mumbai, Bangalore",Django|Python|IT Skills|Software Development|Testing|Data Science|Machine Learning|Oracle,1 Day Ago
Senior Business Analyst - Analytics Consulting | Tiger Analytics |,https://www.naukri.com/job-listings-senior-business-analyst-analytics-consulting-tiger-analytics-tiger-analytics-india-llp-hyderabad-secunderabad-chennai-bangalore-bengaluru-2-to-5-years-280521001355?src=jobsearchDesk&sid=16233957827611842_1&xp=19&px=2,Tiger Analytics India LLP,https://www.naukri.com/tiger-analytics-india-jobs-careers-1326498,2-5 Yrs,Not disclosed,"Hyderabad, Chennai, Bangalore",RDBMS|PowerBI|SAS|communication|Spark|Hive|Hadoop|Tableau,1 Day Ago
Security Architect,https://www.naukri.com/job-listings-security-architect-ibm-india-pvt-limited-bangalore-bengaluru-7-to-12-years-100621907090?src=jobsearchDesk&sid=16233957827611842_1&xp=20&px=2,IBM India Pvt. Limited,https://www.naukri.com/ibm-india-jobs-careers-16987,7-12 Yrs,Not disclosed,Bangalore,security architect|data science|Access management|Machine learning|Banking|Programming|Manager Technology|Product Architect,1 Day Ago
"Lead Data Scientist - AI, ML Engineer - Multiple Locations",https://www.naukri.com/job-listings-lead-data-scientist-ai-ml-engineer-multiple-locations-optum-global-solutions-india-private-limited-bangalore-bengaluru-6-to-10-years-090621906823?src=jobsearchDesk&sid=16233957827611842_2&xp=1&px=3,Optum Global Solutions (India) Private Limited,https://www.naukri.com/optum-global-solutions-india-jobs-careers-126573,6-10 Yrs,Not disclosed,Bangalore,IT Skills|Python|Testing|Data Science|Machine Learning|Cloud|DevOps|Spark-MLlib,1 Day Ago
"ANZ Banking - Lead Manager - Model Development - Bangalore, 7+ years",https://www.naukri.com/job-listings-anz-banking-lead-manager-model-development-bangalore-7-years-anz-banking-group-bangalore-bengaluru-7-to-12-years-090621007636?src=jobsearchDesk&sid=16233957827611842_2&xp=2&px=3,ANZ Banking Group,https://www.naukri.com/naukri-premium-employer-services-jobs-careers-1224374,7-12 Yrs,"32,50,000 - 40,00,000 PA.",Bangalore,LGD|Ead|Model Development|Data Science|PD|Risk Modeling|Credit Modeling|Python,1 Day Ago
Machine Learning Operations Engineer,https://www.naukri.com/job-listings-machine-learning-operations-engineer-dmi-innovations-pvt-ltd-chennai-bangalore-bengaluru-4-to-8-years-090621006894?src=jobsearchDesk&sid=16233957827611842_2&xp=3&px=3,DMI Innovations Pvt. Ltd,https://www.naukri.com/dmi-innovations-jobs-careers-1054038,4-8 Yrs,Not disclosed,"Chennai, Bangalore",Data Science|R|Algorithms|Data Structures|SCALA|Machine Learning|Software Design|Python,1 Day Ago
Data Scientist,https://www.naukri.com/job-listings-data-scientist-elpis-it-solutions-pvt-ltd-bangalore-bengaluru-3-to-8-years-090621001504?src=jobsearchDesk&sid=16233957827611842_2&xp=4&px=3,ELPIS IT SOLUTIONS PVT LTD,https://www.naukri.com/elpis-it-solutions-jobs-careers-1578690,3-8 Yrs,"6,00,000 - 16,00,000 PA.",Bangalore,TensorFlow|Scikit|SQL|RabbitMQ|NiFi|Kafka|Spark|Go,2 Days Ago
Consultant - Analytics Consulting | Tiger Analytics |,https://www.naukri.com/job-listings-consultant-analytics-consulting-tiger-analytics-tiger-analytics-india-llp-hyderabad-secunderabad-chennai-bangalore-bengaluru-3-to-6-years-080321000058?src=jobsearchDesk&sid=16233957827611842_2&xp=5&px=3,Tiger Analytics India LLP,https://www.naukri.com/tiger-analytics-india-jobs-careers-1326498,3-6 Yrs,Not disclosed,"Hyderabad, Chennai, Bangalore",Python|presentation|Qlikview|Tableau|ML|PowerBI|Machine Learning|AI,1 Day Ago
Head - Data Engineering & Analytics,https://www.naukri.com/job-listings-head-data-engineering-analytics-k-r-enterprises-noida-mumbai-6-to-11-years-300321903388?src=jobsearchDesk&sid=16233957827611842_2&xp=6&px=3,K & R Enterprises,https://www.naukri.com/premium-jobs-jobs-careers-678662,6-11 Yrs,Not disclosed,"Noida, Mumbai",IT Skills|Python|Testing|Data Science|Machine Learning|Performance Testing|Big Data|data modeling,1 Day Ago
Lead Engineer -Artificial Intelligence/Machine Learning,https://www.naukri.com/job-listings-lead-engineer-artificial-intelligence-machine-learning-nitor-infotech-pvt-ltd-pune-5-to-10-years-100621007835?src=jobsearchDesk&sid=16233957827611842_2&xp=7&px=3,Nitor Infotech Pvt. Ltd,https://www.naukri.com/nitor-infotech-jobs-careers-834157,5-10 Yrs,"70,000 - 1,25,000 PA.",Pune,Artificial Intelligence|Machine Learning|IT Skills|Python|Data Science|Cloud|Project Management|AWS,1 Day Ago
Crisil - Opening For Data Scientist,https://www.naukri.com/job-listings-crisil-opening-for-data-scientist-crisil-limited-pune-9-to-14-years-090621003962?src=jobsearchDesk&sid=16233957827611842_2&xp=8&px=3,CRISIL LIMITED,https://www.naukri.com/crisil-jobs-careers-4114,9-14 Yrs,Not disclosed,Pune,Machine Learning|Research Designing|Natural Language Processing|fasttext|StatsModels|Scikit-Learn|Data Science|NLTK,1 Day Ago
